Nome Fantasia;Razão Social;CNPJ/CPF;Telefone;E-mail;Cidade;Estado;Endereço;Número;Bairro;CEP;Status;Data Cadastro
AERO CHAVE;AERO CHAVE;—;17988414140;—;SAO JOSE DO RIO PRETO;SP;—;—;—;—;approved;22/07/2026
ARTS CHAVEIRO;ARTS CHAVEIRO;—;—;—;GOIANIA;GO;—;—;—;—;approved;31/07/2026
BRUNO GOIÂNIA;BRUNO GOIÂNIA;—;—;—;GOIANIA;GO;—;—;—;—;approved;31/07/2026
CENTER CHAVES;CENTER CHAVES;—;—;—;—;—;—;—;—;—;approved;11/08/2026
CHAV3IRO JEFERSON;CHAV3IRO JEFERSON;—;17 99132-4656;—;SAO JOSE DO RIO PRETO;SP;—;—;—;—;approved;23/07/2026
CHAVEIRO 13 DE MAIO;CHAVEIRO 13 DE MAIO;—;(16) 3627-6826;—;RIBEIRÃO PRETO;SP;AV. TREZE DE MAIO;777;JARDIM PAULISTANO;14090-270;approved;15/07/2026
CHAVEIRO ABC;CHAVEIRO ABC;—;61996140483;—;—;—;—;—;—;—;approved;30/07/2026
CHAVEIRO ADEMAR;CHAVEIRO ADEMAR;—;16993078867;—;SERTAOZINHO;SP;—;—;—;—;approved;05/08/2026
CHAVEIRO ADRIANO;CHAVEIRO ADRIANO;—;61991338722;—;BRASILIA;DF;—;—;—;—;approved;28/07/2026
CHAVEIRO ASAS;CHAVEIRO ASAS;—;61984748000;—;BRASILIA;DF;—;—;—;—;approved;30/07/2026
CHAVEIRO ASAS SUL;CHAVEIRO ASAS SUL;—;34998651112;—;BRASILIA;DF;—;—;—;—;approved;30/07/2026
CHAVEIRO BOM JESUS;CHAVEIRO BOM JESUS;—;17981160455;—;BARRETOS;SP;—;—;—;—;approved;21/07/2026
CHAVEIRO CAMPEÃO CONSTRUÇÃO;CHAVEIRO CAMPEÃO CONSTRUÇÃO;—;34998651112;—;BRASILIA;DF;—;—;—;—;approved;30/07/2026
CHAVEIRO CANAA;CHAVEIRO CANAA;—;17992647541;—;—;—;—;—;—;—;approved;12/08/2026
