SKU;Produto;Estoque Atual;Preço de Custo;Preço N1;Preço N2;Preço N3;Status
CP-010;CAPA CONTROLE CABEÇA DA FIAT AZUL;959;1,91;4,5;4,3;4;Ativo
CP-011;CAPA CONTROLE CABEÇA FIAT PRETO;687;1,91;4,5;4,3;4;Ativo
CP-012;CAPA CONTROLE DEFENDERTECH;166;1,8;4,5;4,3;4;Ativo
CP-014;CAPA CONTROLE OLIMPUS;716;1,8;4,5;4,3;4;Ativo
CP-015;CAPA CONTROLE POSITRON 2 BOTOES;245;3,34;4,5;4,3;4;Ativo
CP-016;CAPA CONTROLE PÓSITRON PXN52 - CINZA;310;1,91;4,5;4,3;4;Ativo
CT-111;CAPA CONTROLE PÓSITRON PXN52 CINZA;198;2;;;;Ativo
CP-017;CAPA CONTROLE PX32;1910;1,91;4,5;4,3;4;Ativo
CP-018;CAPA CONTROLE PX40;1918;1,91;4,5;4,3;4;Ativo
CP-019;CAPA CONTROLE PX42;1959;1,91;4,5;4,3;4;Ativo
CP-020;CAPA CONTROLE PX46 PRETO (32NOVO);1708;1,8;4,5;4,3;4;Ativo
CP-021;CAPA CONTROLE PXN48;732;1,8;4,5;4,3;4;Ativo
CP-022;CAPA CONTROLE PXN52;1918;1,91;4,5;4,3;4;Ativo
CP-023;CAPA CONTROLE PXN54 CROMO;53;4,5;4,5;4,3;4;Ativo
CP-024;CAPA CONTROLE PXN72 NOVO;715;4,2;4,5;4,3;4;Ativo
CH-200;CHAVE CANIVETE CITROEN FLEX AT;70;24,97;45;43;40;Ativo
CH-201;CHAVE CANIVETE FIAT FLEX AT;44;24,97;45;43;40;Ativo
CH-202;CHAVE CANIVETE FORD FLEX AT;32;27;45;43;40;Ativo
CH-203;CHAVE CANIVETE GM FLEX AT;32;24,01;45;43;40;Ativo
CH-204;CHAVE CANIVETE HB20 FLEX AT;55;24,97;45;43;40;Ativo
CH-205;CHAVE CANIVETE HONDA FLEX;25;34,51;45;43;40;Ativo
CH-216;CHAVE CANIVETE NEW BMW;6;24,9;;;;Ativo
CH-206;CHAVE CANIVETE NEW GM FLEX AT;81;27;45;43;40;Ativo
CH-207;CHAVE CANIVETE NEW VW FLEX AT;67;27;45;43;40;Ativo
CH-211;CHAVE CANIVETE OLIMPUS VERMELHO;6;22,5;45;43;40;Ativo
CH-212;CHAVE CANIVETE POSITRON  VW;61;27;45;43;40;Ativo
CH-215;CHAVE CANIVETE PÓSITRON BMW CLASSICA;7;24,9;;;;Ativo
CH-213;CHAVE CANIVETE PÓSITRON BMW CROMO;28;24,9;;;;Ativo
CH-214;CHAVE CANIVETE PÓSITRON VITRUS;29;24,9;;;;Ativo
CH-208;CHAVE CANIVETE PX80 FLEX AT;86;24,97;45;43;40;Ativo
CH-217;CHAVE CANIVETE UNIVERSAL;0;24,9;;;;Ativo
CH-210;CHAVE CANIVETE VW OLIMPUS AZUL;69;22,5;45;43;40;Ativo
CT-109;CONTROLE CABEÇA FIAT - PRETO;54;1,91;35;33;30;Ativo
CT-100;CONTROLE CABEÇA FIAT FLEX AT - AZUL;94;20,85;35;33;30;Ativo
CT-101;CONTROLE OLIMPUS AZUL;132;14,5;35;33;30;Ativo
CT-102;CONTROLE OLIMPUS VERMELO;121;15;35;33;30;Ativo
CP-025;CONTROLE PÓSITRON PX32 AT;89;17,37;35;33;30;Ativo
CT-103;CONTROLE PX40 FLEX AT;145;20,85;35;33;30;Ativo
CT-104;CONTROLE PX42 FLEX AT;134;17,37;35;33;30;Ativo
CT-105;CONTROLE PX46 FLEX AT (32 NOVO);176;17;35;33;30;Ativo
CT-106;CONTROLE PXN48 FLEX AT;166;13;35;33;30;Ativo
CT-107;CONTROLE PXN52 FLEX AT;93;17,37;35;33;30;Ativo
CT-108;CONTROLE PXN54 CROMO FLEX AT;48;18;35;33;30;Ativo
CT-110;CONTROLE PXN72 NOVO;46;18;;;;Ativo
CT-112;CONTROLE UNIVERSAL 7 ALARMES;30;14;;;;Ativo
LM-603;LÂMINA FIAT PALIO YALE;20;2,32;;;;Ativo
LM-609;LÂMINA FIAT PANTOGRAFICA;30;2,32;;;;Ativo
LM-601;LAMINA GM S10 YALE;15;2,32;;;;Ativo
LM-608;LÂMINA HYUNDAI I30;30;2,32;;;;Ativo
LM-604;LÂMINA PANTOGRAFICA FORD;30;2,32;;;;Ativo
LM-600;LAMINA PANTOGRAFICA VECTRA;30;2,32;;;;Ativo
LM-602;LÂMINA TOYOTA YALE;27;2,32;;;;Ativo
LM-605;LÂMINIA FORD YALE;30;2,32;;;;Ativo
LM-607;LÂMINIA HILUX YALE;30;2,32;;;;Ativo
LM-606;LAMINIA PEUGEOT FURINHO;20;2,32;;;;Ativo
TR-500;PLACA FIAT STRADA ORIGINAL 4A;18;35;;;;Ativo
